State,percentPoverty
Alabama,15.8
Alaska,12.1
Arizona,15.5
Arkansas,15.6
California,13.4
Colorado,8.7
Connecticut,9.9
Delaware,10.6
District of Columbia,15.5
Florida,14.3
,
Georgia,15.6
Hawaii,10.2
Idaho,11.7
Illinois,11.3
Indiana,12.3
Iowa,9.7
Kansas,13.4
Kentucky,16.4
Louisiana,20.0
Maine,12.3
,
Maryland,8.2
Massachusetts,10.6
Michigan,12.2
Minnesota,8.6
Mississippi,19.5
Missouri,11.3
Montana,11.1
Nebraska,10.1
Nevada,12.3
New Hampshire,6.7
,
New Jersey,9.7
New Mexico,18.7
New York,13.2
North Carolina,14.4
North Dakota,11.0
Ohio,13.3
Oklahoma,13.8
Oregon,11.3
Pennsylvania,11.5
Rhode Island,11.8
,
South Carolina,14.6
South Dakota,12.9
Tennessee,13.7
Texas,14.0
Utah,8.8
Vermont,10.2
Virginia,10.8
Washington,10.7
West Virginia,16.6
Wisconsin,10.5
Wyoming,11.0
